X1,X2,y
1.0,1.0,8.342349
2.0,1.0,9.585238
3.0,1.0,12.00188
4.0,1.0,11.96141
5.0,1.0,11.42057
6.0,1.0,11.17394
7.0,1.0,12.27702
8.0,1.0,11.30125
9.0,1.0,12.72968
10.0,1.0,14.14893
11.0,1.0,11.7874
12.0,1.0,16.88813
13.0,1.0,20.05321
14.0,1.0,17.50991
15.0,1.0,18.30991
16.0,1.0,17.9674
17.0,1.0,14.96053
18.0,1.0,13.20578
19.0,1.0,10.95092
20.0,1.0,12.04201
21.0,1.0,13.31914
22.0,1.0,18.85799
23.0,1.0,30.27121
24.0,1.0,31.97828
25.0,1.0,26.90624
26.0,1.0,28.25347
27.0,1.0,27.79525
28.0,1.0,23.22745
29.0,1.0,23.20031
30.0,1.0,30.86975
31.0,1.0,39.184465
32.0,1.0,34.417611
33.0,1.0,18.035493
34.0,1.0,8.396575
35.0,1.0,11.72825
36.0,1.0,7.12893
37.0,1.0,8.700636
38.0,1.0,8.116884
39.0,1.0,15.798573
40.0,1.0,11.420847
1.0,2.0,13.98644
2.0,2.0,16.62486
3.0,2.0,13.01961
4.0,2.0,14.82384
5.0,2.0,14.97213
6.0,2.0,10.9523
7.0,2.0,12.68335
8.0,2.0,21.36255
9.0,2.0,25.98881
10.0,2.0,22.47561
11.0,2.0,18.38578
12.0,2.0,17.37035
13.0,2.0,21.07166
14.0,2.0,17.85212
15.0,2.0,18.30164
16.0,2.0,20.07689
17.0,2.0,16.44128
18.0,2.0,15.14526
19.0,2.0,16.23882
20.0,2.0,17.48324
21.0,2.0,17.3168
22.0,2.0,27.38677
23.0,2.0,29.60295
24.0,2.0,40.68021
25.0,2.0,38.77392
26.0,2.0,39.59245
27.0,2.0,30.58388
28.0,2.0,30.0589
29.0,2.0,49.59627
30.0,2.0,43.033563
31.0,2.0,34.206081
32.0,2.0,33.400522
33.0,2.0,21.500346
34.0,2.0,21.853076
35.0,2.0,14.420491
36.0,2.0,13.789101
37.0,2.0,16.9856
38.0,2.0,21.222708
39.0,2.0,19.24319
40.0,2.0,14.265159
1.0,3.0,16.34831
2.0,3.0,17.66575
3.0,3.0,19.05648
4.0,3.0,18.3741
